curve,period,per_err,duration,t0,depth,snr,sde,fap,border_score,oi,rad_p,rp_rs,a,hz,Object Id,ffi,harmonic,run,score,sectors,transits
11,8.021679912886635,0.0008714216781209316,101.81576996222351,1741.5859823253452,0.8674022480102961,35.52179679077901,56.19022772141218,8.0032e-05,1.0,TOI 1798.01,2.5233769203883405,0.026850064114899094,0.07512371995394058,I,TIC 198153540,0.0,-,1.0,1.0,"16,22,23,49,50","1741.5859823253452,1757.6293421511184,1902.0195805830774,1910.041260495964,1918.0629404088506,1926.0846203217372,1934.1063002346239,1950.149660060397,2648.0358124815325,2656.057492394419,2664.0791723073057,2672.1008522201923,2688.1442120459656"
1,0.43781354182,5.4554091677982974e-05,51.15756388864231,1739.5118909391852,0.25038365961205233,22.405195372527107,52.78397009204428,8.0032e-05,0.9915254237288136,,1.355735119290178,0.013568681399274944,0.01715851334470301,I,TIC 198153540,0.0,-,2.0,1.0,"16,22,23,49,50","1739.5118909391852,1740.3875180228374,1741.2631451064897,1742.138772190142,1743.0143992737942,1743.8900263574465,1744.7656534410987,1745.641280524751,1746.5169076084032,1747.3925346920555,1748.2681617757078,1751.7706701103168,1752.646297193969,1753.5219242776213,1754.3975513612736,1755.2731784449259,1756.1488055285781,1757.0244326122304,1757.9000596958826,1758.775686779535,1759.6513138631872,1760.5269409468394,1761.4025680304917,1900.6272743312013,1901.5029014148536,1902.3785284985058,1903.254155582158,1904.1297826658104,1905.0054097494626,1905.8810368331149,1906.7566639167671,1907.6322910004194,1908.5079180840717,1909.383545167724,1910.2591722513762,1911.1347993350284,1912.0104264186807,1915.5129347532898,1916.388561836942,1917.2641889205943,1918.1398160042465,1919.0154430878988,1919.891070171551,1920.7666972552033,1921.6423243388556,1922.5179514225078,1923.39357850616,1924.2692055898124,1925.1448326734646,1926.020459757117,1929.522968091726,1930.3985951753782,1931.2742222590305,1932.1498493426827,1933.025476426335,1933.9011035099873,1934.7767305936395,1935.6523576772918,1936.527984760944,1937.4036118445963,1938.2792389282486,1939.1548660119008,1940.030493095553,1944.4086285138144,1945.2842555974667,1946.159882681119,1947.0355097647712,1947.9111368484234,1948.7867639320757,1949.662391015728,1950.5380180993802,1951.4136451830325,1952.2892722666847,1953.164899350337,1954.0405264339893,2640.532160017516,2641.4077871011687,2642.283414184821,2643.1590412684736,2644.034668352126,2644.9102954357786,2645.785922519431,2646.6615496030836,2647.537176686736,2648.4128037703886,2649.288430854041,2650.1640579376935,2655.4178204396085,2656.293447523261,2657.1690746069135,2658.044701690566,2658.9203287742184,2659.795955857871,2660.6715829415234,2661.547210025176,2662.4228371088284,2663.298464192481,2664.1740912761334,2669.4278537780483,2670.303480861701,2671.1791079453533,2672.9303621126583,2673.8059891963107,2674.6816162799632,2675.5572433636157,2676.432870447268,2677.3084975309207,2678.184124614573,2683.437887116488,2684.3135142001406,2685.189141283793,2686.0647683674456,2686.940395451098,2687.8160225347506,2688.691649618403,2689.5672767020556,2690.442903785708,2691.3185308693605"
1,0.8756270836523702,4.546237247216034e-05,50.759428480032845,1739.0734548785279,0.2708926358071517,24.375144253820455,193.30860246809863,8.0032e-05,0.9829059829059829,,1.4101666980591563,0.013720455825701555,0.01715851334470301,I,TIC 198153540,0.0,1*SOI2,3.0,1.0,"16,22,23,49,50","1739.0734548785279,1739.9490819621801,1740.8247090458324,1741.7003361294846,1742.575963213137,1743.4515902967892,1744.3272173804414,1745.2028444640937,1746.078471547746,1746.9540986313982,1747.8297257150505,1752.2078611333118,1753.083488216964,1753.9591153006163,1754.8347423842686,1755.7103694679208,1756.585996551573,1757.4616236352254,1758.3372507188776,1759.2128778025299,1760.0885048861821,1760.9641319698344,1900.188838270544,1901.0644653541963,1901.9400924378485,1902.8157195215008,1903.691346605153,1904.5669736888053,1905.4426007724576,1906.3182278561098,1907.193854939762,1908.0694820234144,1908.9451091070666,1909.820736190719,1910.6963632743712,1911.5719903580234,1912.4476174416757,1915.0744986926325,1915.9501257762847,1916.825752859937,1917.7013799435892,1918.5770070272415,1919.4526341108938,1920.328261194546,1921.2038882781983,1922.0795153618506,1922.9551424455028,1923.830769529155,1924.7063966128073,1925.5820236964596,1926.4576507801119,1929.960159114721,1930.8357861983732,1931.7114132820254,1932.5870403656777,1933.46266744933,1934.3382945329822,1935.2139216166345,1936.0895487002867,1936.965175783939,1937.8408028675913,1938.7164299512435,1939.5920570348958,1940.467684118548,1943.970192453157,1944.8458195368094,1945.7214466204616,1946.5970737041139,1947.4727007877661,1948.3483278714184,1949.2239549550707,1950.9752091223752,1951.8508362060275,1952.7264632896797,1953.602090373332,1954.4777174569842,2640.9693510405114,2641.844978124164,2642.7206052078163,2643.596232291469,2644.4718593751213,2645.347486458774,2646.2231135424263,2647.098740626079,2647.9743677097313,2648.8499947933838,2649.7256218770362,2655.8550114626037,2656.730638546256,2657.6062656299086,2658.481892713561,2659.3575197972136,2660.233146880866,2661.1087739645186,2661.984401048171,2662.8600281318236,2663.735655215476,2665.486909382781,2669.8650448010435,2670.740671884696,2671.6162989683485,2672.491926052001,2673.3675531356535,2674.243180219306,2675.1188073029584,2675.994434386611,2676.8700614702634,2677.745688553916,2683.8750781394833,2684.750705223136,2685.6263323067883,2686.501959390441,2687.3775864740933,2688.2532135577458,2689.1288406413983,2690.0044677250507,2690.8800948087032"
8,19.123394593311595,0.0011101128797754711,133.83941966613608,1747.010185134615,0.41547744491798877,13.356395837142067,351.0113927170664,8.0032e-05,0.8333333333333334,,1.7464074724484497,0.02084388764608131,0.1340633879456067,I,TIC 198153540,0.0,-,4.0,1.0,"16,22,23,49,50","1747.010185134615,1899.9973418811076,1919.1207364744191,1938.2441310677307,2645.8097310202656,2684.056520206889"
