candidate,t0,depth,depth_err
0,1741.5859823253452,0.8490684717773478,0.07422904500370443
0,1749.6076622382318,,
0,1757.6293421511184,0.7738719737200306,0.1026981876455829
0,1765.651022064005,,
0,1773.6727019768916,,
0,1781.6943818897782,,
0,1789.7160618026649,,
0,1797.7377417155515,,
0,1805.759421628438,,
0,1813.7811015413247,,
0,1821.8027814542113,,
0,1829.824461367098,,
0,1837.8461412799845,,
0,1845.8678211928711,,
0,1853.8895011057577,,
0,1861.9111810186444,,
0,1869.932860931531,,
0,1877.9545408444176,,
0,1885.9762207573042,,
0,1893.9979006701908,,
0,1902.0195805830774,0.9245690729356992,0.09080428166982205
0,1910.041260495964,0.9048187746336644,0.06872370814989022
0,1918.0629404088506,0.9898125555474202,0.07073364813087547
0,1926.0846203217372,0.9127609038719342,0.0722564086528603
0,1934.1063002346239,0.8656173368936093,0.0650123742316241
0,1942.1279801475105,,
0,1950.149660060397,0.7672786958942135,0.059346197064184994
0,1958.1713399732837,,
0,1966.1930198861703,,
0,1974.214699799057,,
0,1982.2363797119435,,
0,1990.2580596248301,,
0,1998.2797395377168,,
0,2006.3014194506034,,
0,2014.32309936349,,
0,2022.3447792763766,,
0,2030.3664591892632,,
0,2038.3881391021498,,
0,2046.4098190150364,,
0,2054.4314989279233,,
0,2062.45317884081,,
0,2070.4748587536965,,
0,2078.496538666583,,
0,2086.5182185794697,,
0,2094.5398984923563,,
0,2102.561578405243,,
0,2110.5832583181295,,
0,2118.604938231016,,
0,2126.6266181439028,,
0,2134.6482980567894,,
0,2142.669977969676,,
0,2150.6916578825626,,
0,2158.713337795449,,
0,2166.735017708336,,
0,2174.7566976212224,,
0,2182.778377534109,,
0,2190.8000574469957,,
0,2198.8217373598823,,
0,2206.843417272769,,
0,2214.8650971856555,,
0,2222.886777098542,,
0,2230.9084570114287,,
0,2238.9301369243153,,
0,2246.951816837202,,
0,2254.9734967500885,,
0,2262.995176662975,,
0,2271.0168565758618,,
0,2279.0385364887484,,
0,2287.060216401635,,
0,2295.0818963145216,,
0,2303.103576227408,,
0,2311.125256140295,,
0,2319.1469360531814,,
0,2327.168615966068,,
0,2335.1902958789547,,
0,2343.2119757918413,,
0,2351.233655704728,,
0,2359.2553356176145,,
0,2367.277015530501,,
0,2375.2986954433877,,
0,2383.3203753562743,,
0,2391.342055269161,,
0,2399.3637351820475,,
0,2407.385415094934,,
0,2415.4070950078208,,
0,2423.4287749207074,,
0,2431.450454833594,,
0,2439.4721347464806,,
0,2447.493814659367,,
0,2455.515494572254,,
0,2463.5371744851404,,
0,2471.558854398027,,
0,2479.5805343109137,,
0,2487.6022142238003,,
0,2495.623894136687,,
0,2503.6455740495735,,
0,2511.66725396246,,
0,2519.6889338753467,,
0,2527.7106137882333,,
0,2535.73229370112,,
0,2543.7539736140066,,
0,2551.775653526893,,
0,2559.79733343978,,
0,2567.8190133526664,,
0,2575.840693265553,,
0,2583.8623731784396,,
0,2591.884053091326,,
0,2599.905733004213,,
0,2607.9274129170994,,
0,2615.949092829986,,
0,2623.9707727428727,,
0,2631.9924526557593,,
0,2640.014132568646,,
0,2648.0358124815325,0.6611425564858608,0.06591116973642226
0,2656.057492394419,0.7709208738985174,0.08887332231119961
0,2664.0791723073057,0.7133946392336998,0.12310557175388434
0,2672.1008522201923,0.934312947213134,0.07946025229770452
0,2680.122532133079,,
0,2688.1442120459656,1.2086604220267194,0.0812296365014593
1,1739.5118909391852,0.07525147560871748,0.06263058475504317
1,1740.3875180228374,1.070891505691618,0.10967824108836619
1,1741.2631451064897,0.3783207447402015,0.10265808261515007
