#time,flux,flux_err
1738.6491882405314,0.9987013,0.0014385548
1738.6505771052796,0.998815,0.0014376835
1738.65196597026,0.99843425,0.0014390607
1738.6533548350083,0.9982853,0.0014368888
1738.6547436999883,0.9992113,0.0014365873
1738.6561325647356,0.99705464,0.0014374424
1738.6575214297166,1.0006908,0.0014396452
1738.6589102944642,0.997615,0.0014387864
1738.6602991594452,0.9987438,0.0014379225
1738.6616880241934,1.0005162,0.0014369886
1738.663076889174,0.9979446,0.0014377706
1738.664465754155,0.99994427,0.0014398455
1738.6658546189021,0.9983938,0.0014361406
1738.6672434838822,0.99937993,0.0014370247
1738.6686323488632,0.9995416,0.0014371751
1738.6700212138437,1.0011712,0.0014382236
1738.6714100785919,0.9981109,0.0014368062
1738.6727989435726,0.99886334,0.0014400062
1738.6741878085534,1.0009011,0.0014386314
1738.6755766735344,1.0001806,0.0014384135
1738.6769655385144,1.0015875,0.0014376506
1738.6783544034945,0.9989102,0.0014363787
1738.6797432684752,1.0005444,0.0014382903
1738.681132133457,0.9996674,0.001437401
1738.6825209984383,0.99913996,0.0014390975
1738.6839098634189,1.0002865,0.0014395515
1738.6852987283999,0.9994486,0.0014381384
1738.68668759338,1.0006988,0.0014383534
1738.68807645836,0.99730384,0.0014369338
1738.689465323341,0.99967486,0.001437861
1738.6908541883215,0.9982987,0.0014371796
1738.6922430535353,0.9986047,0.0014364152
1738.6936319185163,0.9993407,0.0014376194
1738.6950207834968,0.9991567,0.0014374643
1738.6964096487106,1.000969,0.0014373442
1738.6977985136907,0.9980385,0.0014387574
1738.6991873786708,1.0003793,0.0014382099
1738.7005762438846,1.0012128,0.0014385532
1738.7019651088651,1.000888,0.0014384935
1738.703353973846,0.99872446,0.0014385742
1738.7047428390595,1.0000099,0.0014387824
1738.7061317040404,1.0036902,0.0014385098
1738.7075205692543,0.99870086,0.0014379952
1738.7089094342343,1.0015651,0.0014390212
1738.7102982994472,0.9991395,0.0014378072
1738.7116871646606,0.99940306,0.0014389474
1738.7130760296416,0.9990835,0.001438
1738.7144648948554,1.0009574,0.001438651
1738.7158537600687,1.0006944,0.0014385737
1738.7172426250497,1.0002737,0.0014407039
1738.7186314902626,0.99927527,0.0014378227
1738.7200203554755,0.99984574,0.0014389221
1738.7214092206893,1.0007164,0.0014371123
1738.7227980856699,0.9999118,0.0014369023
1738.7241869508837,0.9989983,0.0014374137
1738.7255758160973,0.99848264,0.0014368375
1738.7269646813108,1.0000944,0.0014396607
1738.7283535465247,0.9981412,0.0014379495
1738.7297424117376,1.0011486,0.0014390833
1738.7311312769505,1.0007322,0.0014401213
1738.732520142164,0.99931043,0.0014390443
1738.7339090073776,0.9987372,0.0014383167
1738.7352978725914,1.0024647,0.001437725
1738.7366867378048,0.9981494,0.0014366976
1738.7380756030186,1.0007722,0.0014378038
1738.7394644682322,1.0008366,0.0014370468
1738.7408533336782,1.0018959,0.0014400376
1738.742242198891,1.0003366,0.0014381732
1738.7436310641044,1.0013676,0.0014396678
1738.7450199293182,1.0020895,0.0014395568
1738.7464087947646,0.9986067,0.001437725
1738.7477976599782,1.0000648,0.001440537
1738.749186525192,0.9983382,0.0014405246
1738.7505753906382,1.0011877,0.0014387603
1738.7519642558511,1.0011541,0.0014377447
1738.7533531210643,1.0006723,0.0014383723
1738.7547419865107,1.0002238,0.0014379813
1738.7561308517245,0.99895287,0.0014367214
1738.7575197171707,0.9999014,0.0014382324
1738.7589085823845,1.0013834,0.0014408107
1738.7602974478311,0.9995116,0.0014375028
1738.761686313044,1.0005525,0.0014377459
1738.7630751784898,1.000052,0.0014377272
1738.764464043936,1.0002586,0.0014372267
1738.7658529091498,1.0015355,0.0014387096
1738.7672417745964,1.0007153,0.0014400549
1738.7686306400426,1.0009983,0.0014382428
1738.7700195052564,1.0005943,0.0014379878
1738.7714083707026,1.0002387,0.0014367205
1738.7727972361492,1.000932,0.0014378411
1738.774186101596,0.99939835,0.001437391
1738.775574967042,1.0001538,0.0014382598
1738.7769638324887,1.0003663,0.0014387955
1738.7783526977023,1.000122,0.0014366488
1738.7797415631487,0.99749815,0.001438588
1738.7811304285954,1.0001382,0.0014394853
1738.7825192940415,1.0001836,0.0014376942
1738.7839081594873,0.9994585,0.0014382204
1738.7852970249332,0.9998045,0.0014364779
1738.7866858903797,0.99889773,0.001436764
1738.7880747558263,0.99821967,0.0014371809
1738.7894636215053,0.9989527,0.0014373434
1738.790852486952,1.0003208,0.0014376634
1738.7922413523984,1.0006888,0.0014413361
1738.7936302178443,1.0001501,0.0014370481
1738.79501908329,0.99951595,0.0014407724
1738.7964079487363,1.0000334,0.0014397124
1738.7977968144157,0.9991914,0.0014381435
1738.7991856798621,0.9997363,0.0014394467
1738.8005745453086,0.9990157,0.0014379515
1738.801963410988,1.0023403,0.0014384812
1738.8033522764342,0.9998235,0.001437265
1738.80474114188,1.0008796,0.0014378852
1738.8061300075587,1.0009352,0.0014385323
1738.8075188730052,1.0016134,0.0014383283
1738.8089077386846,1.000392,0.0014380264
1738.8102966041308,0.9992824,0.0014387188
1738.8116854698103,0.99904215,0.0014371615
1738.813074335257,0.9992017,0.0014376254
1738.814463200936,1.0004417,0.0014386553
1738.8158520663817,0.9988364,0.0014393501
1738.8172409320603,1.0002325,0.0014383312
1738.8186297977397,1.0012097,0.0014411034
1738.8200186631864,0.99970865,0.0014378829
1738.8214075288654,1.0006217,0.0014382646
1738.8227963945449,0.999293,0.0014385289
1738.8241852602239,1.0016246,0.0014387753
1738.8255741256705,1.0021023,0.0014391865
1738.826962991349,0.99988425,0.001437165
1738.8283518570277,0.9999035,0.0014404019
1738.8297407227071,1.0000212,0.0014373616
1738.8311295883861,0.9987813,0.0014374546
1738.8325184540656,0.9994497,0.0014379028
1738.833907319745,1.0012405,0.001437692
1738.835296185424,0.9984941,0.0014364592
1738.8366850511027,0.99945146,0.0014342415
1738.8380739167815,1.0013869,0.0014366086
1738.8394627824607,0.9984002,0.0014369959
1738.8408516481402,0.99972856,0.0014408875
1738.8422405138192,0.9980754,0.0014372722
1738.8436293794987,0.99890107,0.0014387295
1738.845018245178,0.99864346,0.0014372679
1738.8464071108572,1.0008503,0.0014382931
1738.8477959765357,0.9993914,0.0014373196
1738.8491848424471,0.9997754,0.0014375373
1738.8505737081266,0.9993385,0.0014365157
1738.8519625738058,1.000512,0.0014379362
1738.853351439485,1.0017337,0.0014369892
1738.8547403053974,0.99818027,0.0014380522
1738.8561291710764,0.99979186,0.0014371921
1738.857518036756,0.99912006,0.0014379442
1738.8589069026673,0.9999378,0.0014381211
1738.8602957683458,0.99928343,0.001436919
1738.8616846342582,1.0007714,0.0014371295
1738.8630734999372,0.9979486,0.0014374218
1738.8644623656173,0.9996481,0.0014393289
1738.8658512315303,0.9993466,0.0014380844
1738.8672400974422,0.99788666,0.0014366688
1738.8686289631207,0.9979802,0.0014353467
1738.8700178290321,1.0013353,0.0014422347
1738.8714066947116,0.99880475,0.0014369359
1738.872795560624,1.0000007,0.0014370385
1738.8741844265357,0.99929017,0.0014412029
1738.8755732922152,1.0016333,0.0014395285
1738.876962158127,1.0022993,0.0014393992
1738.8783510240394,0.9977156,0.0014384104
1738.8811287556293,0.99978906,0.0014369556
1738.8825176215416,0.9991543,0.0014373336
1738.8839064874535,0.99868166,0.0014372666
1738.8852953533658,0.9990756,0.0014372631
1738.886684219278,0.9999715,0.0014371234
1738.88807308519,1.0003252,0.0014366246
1738.8894619511022,0.99967146,0.0014375789
1738.8908508167808,1.0000023,0.0014357616
1738.8922396826922,1.0014884,0.0014367874
1738.8936285486045,1.0011363,0.0014381108
1738.8950174147492,0.99841267,0.0014379299
1738.8964062806615,1.0015714,0.0014368655
1738.8977951465736,1.0008693,0.0014418273
1738.8991840124856,1.001805,0.001439474
1738.900572878398,1.0003792,0.0014384431
1738.9019617443093,0.99949074,0.0014381101
1738.9033506102207,1.0009532,0.0014359895
1738.9047394761328,0.9986465,0.0014370349
1738.9061283422777,0.9990125,0.0014373743
1738.90751720819,1.0006212,0.0014381164
1738.9089060741019,0.99877876,0.0014368927
1738.910294940247,0.99864,0.0014368821
1738.9116838061584,1.0018482,0.0014384366
1738.9130726720698,0.99973893,0.0014379312
1738.914461538215,0.9987921,0.0014383305
1738.9158504041268,0.9979595,0.0014358595
1738.917239270039,0.99739456,0.0014366036
1738.9186281361842,0.9992403,0.0014372459
1738.920017002096,1.0007915,0.0014380781
1738.9214058682412,0.99843377,0.001438992
1738.9227947341526,0.9979285,0.0014382193
1738.9241836002968,1.0010629,0.0014376835
1738.9255724662091,0.9992413,0.0014376983
1738.9269613323538,0.9975449,0.001437074
1738.928350198499,1.0012064,0.0014378249
1738.9297390644108,0.9991301,0.0014406497
1738.931127930556,1.0026348,0.0014396041
1738.932516796701,0.9991779,0.0014376291
1738.9339056626125,1.0002425,0.001438192
1738.9352945287567,1.0016172,0.0014364576
1738.9366833949014,0.9991296,0.0014374867
1738.9380722610465,1.0004147,0.0014374093
1738.9394611269588,1.0003371,0.0014387469
1738.9408499931035,0.9994831,0.0014371884
1738.9422388592486,0.9981333,0.0014378158
1738.9436277253935,1.0007899,0.0014399856
1738.945016591538,0.9999228,0.001437203
1738.9464054576822,0.9997237,0.0014378172
1738.9477943238269,1.0007975,0.0014368162
1738.949183189972,1.0022141,0.001438721
1738.950572056117,1.0002435,0.0014386288
1738.9519609222618,1.0007204,0.0014381148
1738.953349788407,1.0002056,0.0014394912
1738.9547386545512,0.9984904,0.001435763
1738.9561275206959,1.000145,0.0014369707
1738.9575163868417,0.9988503,0.0014382378
1738.9589052529866,0.99951357,0.0014363757
1738.9602941193646,0.9977491,0.0014369715
1738.9616829855092,0.9977533,0.0014370577
