,metric,score,passed
0,fast_snr,9.548381471089376,True
1,short_snr,15.076783106088667,True
2,long_snr,12.537243819182951,True
3,folded_cadences_snr,0.18239753919981064,True
4,snr_p_t0,32.43947922993124,True
5,snr_p_2t0,0.4828535931966741,False
6,snr_2p_t0,23.822864333213904,True
7,snr_2p_2t0,22.062827074694642,True
8,snr_p2_t0,0.4828535931966741,True
9,snr_p2_t02,0.001,True
10,snr_p_score,0.014884751687109546,True
11,snr_2p_score,1.7600372585192616,True
12,snr_p2_score,0.014853925051672153,True
13,transit_offset_ra,211.09571144198188,True
14,transit_offset_dec,46.516822947207515,True
15,transit_offset_err,0.030661205915435103,False
16,transit_offset_pos,0.003034643069720159,True
17,core_flux_snr,14.085725457619159,True
18,halo_flux_snr,0.8642679247691485,
19,og_score,0.06135771475665489,True
20,centroids_ra_snr,0.4267027748839274,True
21,centroids_dec_snr,-2.2658630909725974,True
