"# ID" GaiaID x y Dist_pix Dist_arcsec Gmag InAper
1 5271055243163629056 1550.9476548211337 406.8664138325559 0.0 0.0 10.5976 1
2 5271055208803899520 1553.0521985672724 404.68724829266387 3.029499435494984 63.61948814539466 16.1423 0
3 5271055685541797120 1552.1228900022052 411.02055770157983 4.317185311679027 90.66089154525956 14.2627 0
4 5271054830846753664 1546.6786981350087 408.8223028616806 4.695688776128741 98.60946429870357 16.4683 0
5 5271054762127282048 1546.1146080301573 406.16847759498114 4.883180958707857 102.546800132865 14.8534 0
6 5271054899566255104 1550.916359035488 401.4619149889255 5.4045894549911395 113.49637855481393 14.9081 0
7 5271056033437618432 1556.3206060495118 409.8103877410334 6.126629356858916 128.65921649403722 15.5109 0
8 5271054933926000896 1552.6958326091294 400.67895241235584 6.42968151659985 135.02331184859685 11.5388 0
9 5271055483681773952 1545.0049300818655 410.23336232135574 6.830250321396864 143.43525674933414 15.5814 0
10 5271054899566252160 1548.5203833739497 400.17962982174544 7.113699957514748 149.3876991078097 16.2211 0
11 5271055895998650496 1552.953217287907 413.9486162618174 7.360697796891725 154.57465373472624 16.4625 0
12 5271054452889630336 1543.357239176885 405.1755044507811 7.776476335065178 163.30600303636874 15.4175 0
13 5271054727767528192 1542.746834899264 408.22515509768476 8.31261843323138 174.564987097859 14.5136 0
14 5271055895998644864 1552.0895966260525 415.363664887191 8.573640217044263 180.0464445579295 16.2483 0
15 5271055140084443392 1558.5756706166508 401.89944568438546 9.10260388908567 191.15468167079905 13.6687 0
16 5271051566671621120 1544.4982890586562 400.3630437061208 9.15904698861331 192.33998676087953 13.301 0
17 5271055861638893952 1548.5854548218867 415.7721825213172 9.213723719222486 193.4881981036722 15.4241 0
18 5271054659048049664 1541.7314879509079 407.67321871467783 9.251414264730773 194.27969955934623 9.3734 0
19 5271051566671627904 1546.385501408876 398.6575148987261 9.39144639886776 197.22037437622296 16.3678 0
20 5271055964718117760 1551.9157235616367 416.2223022137431 9.405838850818805 197.5226158671949 15.8184 0
21 5271056308315519104 1556.9715730212972 414.13208865725846 9.438094147685627 198.19997710139816 15.9883 0
22 5271055930358373248 1550.195259106889 416.5845342259691 9.747202844492735 204.69125973434743 14.5181 0
23 5271055930355497728 1550.11702604625 416.5934027553793 9.762389956685512 205.01018909039576 14.0371 0
24 5271055758559676288 1548.1841381177883 416.3124698631136 9.842001783280926 206.68203744889945 13.1121 0
25 5271055341944322048 1560.451392758041 403.8408713730269 9.973712545879007 209.44796346345913 13.8091 0
26 5271052116427468160 1556.1267908026787 398.32877952834576 9.985722258693134 209.70016743255582 14.5552 0
27 5271055926059969280 1550.1066933736165 416.9580755330131 10.126640708185723 212.65945487190018 15.6823 0
28 5271051905973062400 1548.9354367247831 396.8311011073211 10.23506341751434 214.93633176780114 16.2137 0
29 5271052112131696512 1556.2733962062339 398.0282432015918 10.318758714254592 216.69393299934643 16.5796 0
30 5271055758560039552 1544.9813553156623 415.38151225315755 10.397289594000972 218.3430814740204 16.2227 0
31 5271056170876588800 1561.3910417674033 408.12215868969105 10.518613314298387 220.89087960026612 14.9548 0
32 5271055346242876800 1561.1735252165004 404.07751365470244 10.599357977956366 222.5865175370837 15.3971 0
33 5271055140084450048 1559.4802064989253 400.5426053512968 10.62049866257838 223.03047191414598 14.725 0
34 5271051566671623296 1544.1090989792742 398.4311115099165 10.859105454712026 228.04121454895255 13.6981 0
35 5271054384170157312 1541.3384378990868 401.51439831041773 10.99914178489217 230.98197748273557 14.8966 0
36 5271055449322018048 1541.652532378433 412.8536194054249 11.056488221699995 232.1862526556999 15.6817 0
37 5271055930358368256 1549.583670902693 418.0459941171279 11.262480520247571 236.512090925199 16.0379 0
38 5271052116427474688 1557.4333150206712 397.34196500022165 11.522973304821038 241.9824394012418 14.081 0
39 5271052116427471616 1555.4213871560103 396.2116531774338 11.555873208981586 242.6733373886133 16.3126 0
40 5271055518041491840 1541.025996440292 413.2635092914163 11.805174091723535 247.90865592619423 13.2043 0
41 5271055449322015616 1540.6352768229601 412.6403952509186 11.818798644397495 248.19477153234737 15.7122 0
42 5271056892431106304 1562.6979358001702 404.7421448533 11.940754657161962 250.7558478004012 15.2209 0
