"# ID" GaiaID x y Dist_pix Dist_arcsec Gmag InAper
1 5271055243163629056 1089.9454669269214 61.75901777699621 0.0 0.0 10.605513 1
2 5271055208803899520 1091.504007908747 59.1594554095358 3.030969233487283 63.65035390323295 16.147158 1
3 5271055685541797120 1092.1380244993045 65.52597893987485 4.358589807592623 91.53038595944508 14.251523 0
4 5271054830846753664 1086.3245350027357 64.7154813371946 4.67459354194224 98.16646438078705 16.457073 0
5 5271054762128403072 1085.1328010197285 62.27763930464625 4.840529043730565 101.65110991834186 14.837293 0
6 5271054899566255104 1088.6489009188172 56.548472371113434 5.369438223886884 112.75820270162455 14.896108 0
7 5271056033437618432 1095.916607251288 63.33426324044592 6.175428328739307 129.68399490352544 15.496851 0
8 5271054933926000896 1090.1855936335571 55.35786859340567 6.405651544208562 134.5186824283798 11.535221 0
9 5271055483681773952 1085.0423006026338 66.48946151339999 6.813085787432181 143.0748015360758 15.56524 0
10 5271054899566252160 1086.0137252421925 55.88559023344663 7.0679377320942445 148.42669237397914 16.208225 0
11 5271055895998650496 1093.652808057226 68.16480713657842 7.401250946683538 155.42626988035428 16.452534 0
12 5271054452889630336 1082.2177034706044 61.98384134888417 7.7310331570408515 162.35169629785787 15.403948 0
13 5271054727767528192 1082.3654226760523 65.09053132807988 8.279858295054847 173.87702419615178 14.501168 0
14 5271055895998644864 1093.1591364355895 69.74621421877914 8.609470292101191 180.798876134125 16.237738 0
15 5271051566671621120 1082.1570304599852 57.039665622293306 9.106702331777452 191.24074896732648 13.288387 0
16 5271055140084443392 1096.1850114360493 55.11444380187525 9.114948106941844 191.4139102457787 13.657574 0
17 5271054659048049664 1081.2455514617402 64.79985845138026 9.216031744101569 193.53666662613296 9.377881 0
18 5271055861638893952 1089.8584061540903 70.99228085231405 9.233673515789578 193.90714383158112 15.412503 0
19 5271051566671627904 1083.5738680290478 54.92767491054227 9.341547937811749 196.17250669404672 16.3582 0
20 5271055964718117760 1093.2005532599171 70.62191317792784 9.441742525779354 198.27659304136643 15.813178 0
21 5271056308315519104 1097.5966286903902 67.36790850495731 9.486829371764523 199.223416807055 15.978329 0
22 5271055930358373248 1091.6223259658211 71.39312812981441 9.778953856452056 205.35803098549317 14.530129 0
23 5271055930355497728 1091.548582068385 71.42016012027445 9.79324509720213 205.65814704124472 14.05689 0
24 5271055758559676288 1089.6021925558 71.6146823483742 9.861640909979645 207.09445910957254 13.112964 0
25 5271052116427468160 1092.9432288845742 52.246466083829944 9.973726308151356 209.44825247117848 14.543422 0
26 5271055341944322048 1098.4761067583524 56.54324254455321 9.998806289200889 209.97493207321867 13.79557 0
27 5271055926059969280 1091.622322685774 71.77365746925518 10.154056007417223 213.23517615576168 15.671066 0
28 5271051905973062400 1085.6057226348285 52.53796991368227 10.191226825965565 214.01576334527687 16.203655 0
29 5271052112131696512 1093.0130326225344 51.9189852511703 10.307094615177133 216.4489869187198 16.569052 0
30 5271055758560039552 1086.2678278704484 71.48784826820864 10.400729385790232 218.41531710159487 16.213598 0
31 5271056170876588800 1100.426882669066 60.467620525253054 10.560671513757237 221.774101788902 14.942979 0
32 5271055346242876800 1099.2333323767855 56.59693721377882 10.62598326537009 223.1456485727719 15.384688 0
33 5271055140084450048 1096.733441484566 53.5793239036709 10.629392760479988 223.21724797007974 14.707532 0
34 5271051566671623296 1081.3106894175955 55.26019790595602 10.807129237303817 226.94971398338015 13.684958 0
35 5271054384170157312 1079.3694845254547 58.921836815855336 10.949931486652963 229.94856121971222 14.886477 0
36 5271055449322018048 1082.4258086893285 69.84389134492025 11.041306110217029 231.8674283145576 15.669489 0
37 5271055930358368256 1091.3790862949384 72.95590437775138 11.288291901015139 237.05412992131792 16.028894 0
38 5271051429232657152 1078.9131858376793 58.73472371028815 11.43929983145713 240.22529646059974 16.467272 0
39 5271054384170155136 1078.803106123066 58.902616464855946 11.50266198491848 241.55590168328808 15.674794 0
40 5271052116427474688 1093.9705795024613 50.971038949005866 11.514426535391904 241.80295724322997 14.069368 0
41 5271052116427471616 1091.7448684756903 50.36373152733245 11.536481033897978 242.26610171185754 16.300297 0
42 5271055518041491840 1081.9181640248898 70.3933789273091 11.78939287474114 247.57725036956393 13.192636 0
43 5271055449322015616 1081.387029284527 69.88360408983363 11.800667677445167 247.8140212263485 15.700056 0
44 5271051497952147712 1080.6207783218556 54.3630000790797 11.90171816879138 249.936081544619 14.397695 0
45 5271056407096341760 1101.3733500502299 65.24294318123125 11.947143964239837 250.89002324903657 16.392565 0
46 5271056892431106304 1100.8732675809786 56.871691904184104 11.970913971868237 251.38919340923297 15.208758 0
47 5271052013348248320 1087.6396969749555 49.96606720046448 12.01624976321268 252.3412450274663 13.957892 0
48 5271052013348252800 1089.4413976072424 49.653577542706024 12.115930387098356 254.43453812906546 16.072765 0
49 5271054624688298880 1078.5241162806974 66.34336891958853 12.307051880226616 258.44808948475895 15.547516 0
50 5271051429232655104 1078.0536164784558 58.4254228068281 12.35026163746353 259.35549438673416 14.142603 0
51 5271067681388889472 1092.9438332013915 74.28023394949179 12.87521086251578 270.3794281128314 10.881287 0
52 5271048817892510720 1078.3112121132026 67.50010614174644 12.973664890169246 272.44696269355416 14.602236 0
53 5271054349810407552 1077.0010915534438 60.55175802715022 13.000551138820745 273.01157391523566 16.179396 0
54 5271051429232653824 1077.395086558147 58.296114506258846 13.019360447556522 273.406569398687 16.031479 0
55 5271067715748635520 1095.5015239052138 73.78938638733005 13.251397588425824 278.2793493569423 14.879076 0
