,time,flux,flux_err,background_flux,quality,centroids_x,centroids_y,motion_x,motion_y
0,2061.850626461981,,,,40,,,,
1,2061.8575707627383,24399.7,8.429422,1774.6421,0,91.2199831342061,1056.9696659361737,0.032013785,0.062041648
2,2061.864515063583,24410.877,8.432795,1777.4731,0,91.22015964651733,1056.9698655597765,0.032371853,0.06273781
3,2061.8714593645427,24408.717,8.430215,1776.9458,0,91.21940771534639,1056.9695553565384,0.032266844,0.062852435
4,2061.8784036655916,,,1775.8578,128,91.21653356811512,1056.9669957752244,0.028954124,0.05773114
5,2061.885347966756,,,1779.7761,128,91.2149379889937,1056.9647545635867,0.027287165,0.05501278
6,2061.8922922679794,24420.254,8.432941,1779.9639,0,91.21786406183331,1056.966842816509,0.029647235,0.059482414
7,2061.8992365692898,24401.004,8.43162,1778.6052,0,91.21854835293445,1056.9672656353791,0.03039045,0.059511006
8,2061.9061808706865,24432.209,8.435355,1779.7897,0,91.21827980974433,1056.9670821760767,0.031149391,0.059660688
9,2061.9131251721715,,,1780.4822,128,91.21997473159131,1056.9687010683792,0.033615302,0.059303444
10,2061.9200694737438,24411.932,8.430986,1774.5106,0,91.21894082426489,1056.9670940528997,0.031738915,0.059331212
11,2061.927013775374,24413.271,8.433692,1776.5675,0,91.21959424719645,1056.9670423904754,0.03158345,0.05903353
12,2061.933958077063,24419.355,8.431364,1775.1139,0,91.2190829103581,1056.9666845074028,0.030888123,0.058909383
13,2061.9409023788376,24419.092,8.433145,1775.3689,0,91.21874079423868,1056.9661022136727,0.031213867,0.05826812
14,2061.947846680701,24410.223,8.433617,1778.9531,0,91.21869549335315,1056.9657131711633,0.03070228,0.058248725
15,2061.9547909825933,24426.21,8.435448,1778.2329,0,91.21847018611054,1056.9661097831681,0.030828133,0.058705214
16,2061.9617352845726,24413.066,8.429774,1773.0431,0,91.22021749504925,1056.9671831862447,0.032908484,0.05888926
17,2061.9686795866105,24423.457,8.432422,1777.453,0,91.21841588342684,1056.9648386006481,0.031712595,0.057218656
18,2061.9756238887067,24426.473,8.432444,1777.6417,0,91.21640269046246,1056.9631324075176,0.028721686,0.055410717
19,2061.982568190861,24415.336,8.43096,1778.6792,0,91.21801180755325,1056.9652601134997,0.030924689,0.057459895
20,2061.9895124930727,24441.605,8.435843,1777.6815,0,91.21703354142073,1056.9643480248074,0.030307116,0.05684867
21,2061.996456795343,24414.332,8.432423,1783.1709,0,91.21729778371562,1056.9652761201469,0.029871546,0.056890275
22,2062.0034010976724,24427.355,8.432015,1776.5557,0,91.21557290348802,1056.9635874248015,0.028317003,0.055213735
23,2062.010345400031,24416.121,8.4315605,1775.4554,0,91.21888621421232,1056.9657943707812,0.031126343,0.057405524
24,2062.0172897024468,24423.008,8.4357395,1774.0199,0,91.21741035820163,1056.9638479965263,0.029591987,0.055742536
25,2062.024234004921,24422.94,8.432924,1773.431,0,91.21830419448723,1056.9645082404065,0.031033432,0.056577034
26,2062.031178307453,24430.96,8.4343405,1778.7721,0,91.21716240051649,1056.9637858410147,0.029373886,0.056099467
27,2062.0381226099857,24436.434,8.4325695,1773.9286,0,91.2165689253977,1056.9632256190384,0.02909201,0.05500121
28,2062.0450669126058,24401.045,8.429695,1775.5762,0,91.21753977712063,1056.9641877446443,0.03032016,0.055096976
29,2062.0520112152544,24414.576,8.431903,1779.1162,0,91.21519428361925,1056.9621750066854,0.027915454,0.055104706
30,2062.058955517932,24437.172,8.431811,1774.1658,0,91.21814888123863,1056.9636390912278,0.030205484,0.05636175
31,2062.065899820639,24422.084,8.435345,1774.1724,0,91.21576911189423,1056.962061347561,0.028310992,0.055040512
32,2062.0728441234046,24416.215,8.433291,1779.6738,0,91.21714179294943,1056.9636036255708,0.030095521,0.055402067
33,2062.0797884261992,24431.006,8.432439,1777.1727,0,91.21601546263744,1056.9620818139242,0.028743494,0.05431718
34,2062.0867327290225,24416.826,8.432154,1772.6155,0,91.21444864876379,1056.962292889205,0.027376968,0.054958526
35,2062.093677031904,24407.342,8.429162,1776.9397,0,91.21525426649421,1056.9625339669687,0.028308203,0.054381758
36,2062.1006213347855,24408.63,8.431566,1778.6908,0,91.21471511307234,1056.9618642984888,0.02815599,0.05445983
37,2062.1075656377257,24408.293,8.43205,1775.7233,0,91.21572274180248,1056.962157967262,0.02830168,0.054729532
38,2062.114509940695,24416.906,8.430569,1778.1985,0,91.21481837951454,1056.9614128813216,0.027465813,0.05429431
39,2062.1214542436637,24446.479,8.436369,1777.2338,0,91.21574691677694,1056.9615486842363,0.027830618,0.054812443
40,2062.128398546691,24413.09,8.431115,1776.035,0,91.21415904864214,1056.9612180695474,0.026850726,0.05426835
41,2062.1353428497478,24413.295,8.430409,1774.6512,0,91.21310624827301,1056.961439167004,0.02547155,0.054671973
42,2062.142287152804,24416.686,8.434161,1774.9095,0,91.21466647467108,1056.960907333873,0.026228849,0.054181572
43,2062.149231455919,24423.01,8.432377,1774.9146,0,91.21396049686211,1056.9613006741229,0.026732802,0.054275338
44,2062.1561757590334,24411.688,8.431293,1777.2256,0,91.2131552222612,1056.9611840928155,0.025746956,0.05390686
45,2062.163120062177,24412.465,8.429584,1776.8273,0,91.21372851869836,1056.9610612828035,0.025777385,0.053065807
46,2062.1700643653503,24434.17,8.434218,1772.8381,0,91.21300545210036,1056.95971044915,0.025399117,0.052852757
47,2062.177008668551,24419.96,8.432021,1775.1075,0,91.21320018507535,1056.9604883818936,0.025228547,0.05380077
48,2062.183952971753,24427.4,8.433799,1775.9318,0,91.21331616888851,1056.9602860165392,0.02547626,0.053391933
