,metric,score,passed
0,fast_snr,9.414654063500926,True
1,short_snr,16.625646647146723,True
2,long_snr,13.747063419151024,True
3,folded_cadences_snr,0.2234693300584259,True
4,snr_p_t0,35.438609299322536,True
5,snr_p_2t0,4.870043085012786,False
6,snr_2p_t0,30.101780489401897,True
7,snr_2p_2t0,18.228229476529677,True
8,snr_p2_t0,4.870043085012786,False
9,snr_p2_t02,2.1464237189250635,True
10,snr_p_score,0.13742195817785335,False
11,snr_2p_score,11.87355101287222,True
12,snr_p2_score,0.07685457809823787,False
13,transit_offset_ra,211.0984205774197,True
14,transit_offset_dec,46.51996696316618,True
15,transit_offset_err,0.01474405772058242,True
16,transit_offset_pos,0.004349949040045986,True
17,core_flux_snr,0.13289083556540648,
18,halo_flux_snr,-0.30369907119403994,
19,og_score,-2.2853274260930108,
20,centroids_ra_snr,-1.1652378312094243,True
21,centroids_dec_snr,-0.4784146249496368,True
