0.000,0.000
0.080,2.240
0.150,4.570
0.219,5.672
0.290,5.87965
0.364,5.86337
0.434,5.83239
0.506,5.84954
0.578,5.86656
0.649,5.84645
0.721,5.83950
0.794,5.84840
0.866,5.83342
0.937,5.84843
1.010,5.83350
1.081,5.79657
1.154,5.80954
1.225,5.81553
1.298,5.81241
1.369,5.78043
1.441,5.81033
1.514,5.84436
1.586,5.80335
1.659,5.78844
1.730,5.77247
1.802,5.81452
1.874,5.76736
1.946,5.76858
2.018,5.73154
2.090,5.72856
2.162,5.72753
2.234,5.73445
2.307,5.74148
2.378,5.74036
2.450,5.73342
2.522,5.71639
2.594,5.70844
2.666,5.73745
2.739,5.71648
2.811,5.70747
2.882,5.73141
2.955,5.68945
3.026,5.70169
3.099,5.70382
3.170,5.67395
3.243,5.68089
3.314,5.64886
3.387,5.66094
3.459,5.65595
3.531,5.63699
3.603,5.646
3.675,5.624
3.747,5.659
3.819,5.57892
3.892,5.542
3.963,5.53998
4.035,5.516
4.107,5.506
4.179,5.444
4.252,5.473
4.323,5.490
4.396,5.480
4.467,5.440
4.540,5.472
4.612,5.443
4.684,5.413
