,bjd,rv,rv_err
105,58543.694628,-1.944242424242475,1.8
106,58543.706052,-1.944242424242475,1.7
17,58544.69534606999,-5.944207761904181,0.667584
107,58545.692067,-3.944242424242475,2.1
108,58545.703803,-1.444242424242475,2.2
109,58546.723784,3.855757575757707,2.2
110,58546.735092,-2.144242424242293,2.3
111,58547.712433,2.4557575757571612,2.2
112,58547.723857,4.755757575757343,2.1
113,58548.691267,-5.644242424242293,2.9
114,58549.68554,-3.644242424242293,2.1
115,58550.713112,-2.144242424242293,3.2
116,58550.725566,-0.44424242424247495,3.0
18,58550.75710280985,2.3822202380961244,0.627819
117,58551.718416,-0.644242424242293,3.9
118,58551.731089,-5.644242424242293,3.7
119,58553.72034,-3.0442424242428388,3.4
120,58554.71842,-0.5442424242428388,3.5
19,58555.65531936986,-2.527966761904281,0.752207
121,58555.706291,-3.744242424242657,3.1
122,58556.692599,-4.644242424242293,2.5
123,58557.666904,-5.544242424242839,2.6
124,58558.662517,-4.144242424242293,2.8
125,58558.691256,-3.5442424242428388,2.2
20,58561.56556322007,4.2059212380954705,0.757753
21,58562.64743523998,4.039305238095949,0.849544
126,58564.652901,-1.3442424242421112,2.0
127,58565.637158,2.055757575757525,2.0
128,58565.648489,1.4557575757571612,1.9
129,58566.622838,-0.8442424242421112,2.0
130,58567.609836,0.555757575757525,2.1
131,58567.621098,-0.14424242424229305,1.9
132,58567.709085,1.555757575757525,2.3
133,58567.72074,0.9557575757571612,2.4
22,58568.65597468987,2.6287632380954165,0.713641
134,58568.682877,1.855757575757707,2.7
135,58569.690303,3.4557575757571612,2.2
136,58569.70153,0.25575757575734315,2.2
137,58570.622845,1.2557575757573431,3.2
138,58571.673037,0.055757575757525046,2.4
23,58573.62433242984,-0.3159687619045144,0.619675
139,58576.640356,6.855757575757707,1.7
140,58577.690395,-0.04424242424283875,2.3
141,58578.62776,0.055757575757525046,1.8
142,58579.638897,-0.14424242424229305,1.5
143,58580.524479,-2.744242424242657,1.0
144,58581.552943,-4.644242424242293,1.6
145,58582.607771,-7.444242424242475,1.3
146,58583.509289,-1.644242424242293,1.2
147,58584.61171,-1.8442424242421112,2.1
148,58584.623018,-3.944242424242475,2.3
149,58585.66685,-4.044242424242839,2.1
150,58586.650509,-6.244242424242657,2.9
151,58587.569259,-1.8442424242421112,3.4
152,58587.580879,-5.644242424242293,2.8
153,58588.536828,-4.744242424242657,2.2
154,58588.547928,-1.7442424242426569,1.9
155,58589.609513,-3.444242424242475,2.1
156,58589.620821,-3.344242424242111,1.9
157,58590.586202,-0.04424242424283875,2.0
158,58590.597418,-0.8442424242421112,2.3
159,58597.556557,-0.944242424242475,3.7
160,58597.572495,-4.644242424242293,3.7
161,58600.586661,-1.944242424242475,2.7
162,58600.597968,-0.44424242424247495,2.7
24,58601.56770909997,0.9325352380956247,1.213253
163,58601.613947,2.655757575757889,2.4
164,58601.625579,5.555757575757525,2.4
25,58604.58743778011,3.847185238095335,1.659114
26,58609.54285403993,0.36939923809586617,1.547371
27,58624.51828433015,-3.5733837619045516,0.902954
28,58625.47539150994,-3.973426761904193,1.41244
29,58626.50326544,-3.2900687619039672,0.735638
30,58631.488960249815,-2.872648761904202,0.891366
31,58632.50046005007,-4.265684761904595,1.295861
32,58633.51409365982,-5.38156776190408,0.813784
33,58634.49179081013,-6.153009761904286,0.833205
34,58635.47196426988,2.0610872380957517,0.771261
35,58636.50192369986,3.143144238095374,1.337412
36,58637.46189861,-0.9992267619045379,0.794118
37,58638.492276929785,0.35210423809621716,0.85624
38,58639.51213678997,4.359677238096083,1.106009
39,58754.86336803995,4.177800238096097,0.675563
40,58792.826801210176,-0.6035547619039789,0.650827
41,58803.81139484001,1.5995912380958544,0.556784
42,58810.79827880999,-1.9540147619045456,0.678912
43,58814.65228107013,-1.5626637619043322,0.690866
44,58814.66590865003,-2.8670937619044707,0.714519
45,58823.79097829992,4.255383238095419,0.663301
46,58842.758580360096,4.721140238095359,0.582354
47,58846.68298764015,4.958433238095495,0.754947
48,58850.76163886022,-1.0115947619042345,0.698004
49,58858.62032070989,-3.0740357619042697,0.617978
50,58868.80279069999,4.82934623809615,0.558562
51,58879.69353902992,-2.129230761904182,0.601312
52,58882.75253902981,1.7842592380957285,0.499841
53,58893.62645620015,5.420639238095646,0.59494
54,58896.734808119945,5.511127238095469,0.515555
55,58899.76618980989,-0.18751876190435723,0.746844
56,58904.70237507997,2.7679422380961114,0.703417
57,58908.72555971984,3.364041238095524,0.624755
58,58910.62235468021,2.6415232380959424,0.574009
59,58912.74303189013,7.343732238095981,0.740746
60,58926.58588042017,-1.1264397619042938,0.721367
61,58927.72608147003,-1.0425307619043451,0.673235
62,58930.57736935979,-2.8019347619037944,0.576619
