,metric,score,passed
0,fast_snr,0.23696048830772318,False
1,short_snr,4.660523320454533,True
2,long_snr,2.1893984134065896,False
3,folded_cadences_snr,0.766223585275196,False
4,snr_p_t0,12.750052750876138,True
5,snr_p_2t0,1.4992435949637561,False
6,snr_2p_t0,13.840820544969654,True
7,snr_2p_2t0,5.456386123111206,True
8,snr_p2_t0,1.4992435949637561,True
9,snr_p2_t02,0.001,True
10,snr_p_score,0.11758724644184186,True
11,snr_2p_score,8.384434421858447,True
12,snr_p2_score,0.11750881539378748,True
13,transit_offset_ra,211.09619456682887,True
14,transit_offset_dec,46.51511246704774,True
15,transit_offset_err,0.006262165186009641,True
16,transit_offset_pos,0.004767727960636351,True
17,core_flux_snr,-0.2483656320747312,
18,halo_flux_snr,0.14279497403662408,
19,og_score,-0.574938540585431,
20,centroids_ra_snr,4.33253847514275,False
21,centroids_dec_snr,1.1091056254497136,True
